"search","socialmedia","termsconditions","age","behavior","interest","commercial","awareness","concern","regulation","comfort","F_internetuse","F_termsconditions","F_age","F_behavior","F_interest","F_commercial","F_awareness","F_concern","F_regulation","F_comfort","F_nationality"
1,2,3,61,3,2,3,1,1,2,4,"light_user","don't read","55+","disagree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,3,40,1,3,1,1,1,3,2,"heavy_user","don't read","40-54","agree","disagree","agree","agree","agree","disagree","comfortable","BELGIUM"
1,1,3,22,2,2,2,4,2,4,2.33333333333333,"heavy_user","don't read","15-24","agree","agree","agree","disagree","agree","disagree","comfortable","BELGIUM"
1,5,1,37,2,2,4,1,1,1,4,"light_user","read","25-39","agree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,2,3,57,2,2,2,1,3,3,2,"light_user","don't read","55+","agree","agree","agree","agree","disagree","disagree","comfortable","BELGIUM"
1,1,3,36,2,2,2,2,2,2,2,"heavy_user","don't read","25-39","agree","agree","agree","agree","agree","agree","comfortable","BELGIUM"
2,2,1,32,3,3,3,3,1,3,4,"light_user","read","25-39","disagree","disagree","disagree","disagree","agree","disagree","uncomfortable","BELGIUM"
1,1,1,36,2,2,2,2,3,2,3,"heavy_user","read","25-39","agree","agree","agree","agree","disagree","agree","uncomfortable","BELGIUM"
1,1,3,67,2,1,4,1,1,1,4,"heavy_user","don't read","55+","agree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,1,31,3,2,2,1,2,1,2,"heavy_user","read","25-39","disagree","agree","agree","agree","agree","agree","comfortable","BELGIUM"
2,1,3,35,2,1,3,1,2,1,3,"light_user","don't read","25-39","agree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,3,21,2,1,3,1,2,1,2.33333333333333,"heavy_user","don't read","15-24","agree","agree","disagree","agree","agree","agree","comfortable","BELGIUM"
1,1,3,32,2,2,2,2,2,2,2.66666666666667,"heavy_user","don't read","25-39","agree","agree","agree","agree","agree","agree","comfortable","BELGIUM"
1,1,3,41,2,2,2,2,1,4,4,"heavy_user","don't read","40-54","agree","agree","agree","agree","agree","disagree","uncomfortable","BELGIUM"
2,1,3,44,3,2,3,2,3,1,2,"light_user","don't read","40-54","disagree","agree","disagree","agree","disagree","agree","comfortable","BELGIUM"
1,1,3,58,2,2,4,1,1,1,3.33333333333333,"heavy_user","don't read","55+","agree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,5,3,55,4,1,4,2,1,2,3.33333333333333,"light_user","don't read","55+","disagree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
2,2,3,24,1,2,4,1,2,1,3,"light_user","don't read","15-24","agree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,1,25,2,2,2,1,2,2,4,"heavy_user","read","25-39","agree","agree","agree","agree","agree","agree","uncomfortable","BELGIUM"
2,5,1,48,3,2,3,1,3,3,2,"light_user","read","40-54","disagree","agree","disagree","agree","disagree","disagree","comfortable","BELGIUM"
